story_id	panel	name	problem	hero	layout	interaction	density	reuse
I09	inspector	Playhead Value Lens	** 現在 playhead で評価された値と、静止値/キーの存在が混ざって見える問題を解決する。	** 今見えているフレームを基準に、前後のポーズを同じ hero の連続として調整する。	** panel top に `FRAME 042 · 00:01.400` の lens band、続いて大きな current value、下に `source: static / key / track` の小さな provenance line と通常 row。値は右寄せ、source は色でなく text でも読めるようにする。	** playhead は Inspector から編集せず read-only。value click/drag と Key click は既存 semantics。`tooltip` で「評価値は現在時刻の値」と説明し、source badge は押せない。	** band36px、hero value44px、通常 row28px。数値を大きくするのは lens の一つだけで、縦スクロールを圧迫しない。	** `StoreView::value_at`、key state、既存 playhead/session read を再利用する。source line の表示 adapter だけ自前にし、評価経路を Inspector 独自に複製しない。
I10	inspector	Property Source Ledger	** 値が Track、Slot、Link のどこから来ているか分からず、編集しても期待した場所を変えられない問題を解決する。	** hero の見た目を「自分のキー」「共有された制御」「別レイヤーの値」のどれで作っているか理解し、後から崩れない制作を促す。	** property row の value 下に source strip を一行だけ置く。左に `Track / Slot / Link` label、中央に source 名、右に `KEY`/`OPEN` button。source strip は通常 row より薄く、編集値の主役を奪わない。	** source strip は read-only summary。Link の場合だけ I25/I26 の pick_list entry、Track/Slot は将来の詳細 drawer button を disabled/tooltip で予告する。value/key は今までどおり。	** row34px、source strip16px、320px幅。source 名が長い場合は ellipsis と full tooltip。	** `StoreView::property_source`、`PropertySource`、existing Link projection を再利用する。source badge と adapter のみ自前で、Slot/Link の新しい解決規則は作らない。
I11	inspector	Keyframe Detail Drawer	** Key を押せることは分かっても、どの時刻を編集しているか、どの補間が働くかが見えない問題を解決する。	** hero の「間」を詰めるため、選択中 property のキー群を Inspector 内で時間順に読めるようにする。	** 通常 property rows の下に `selected property` drawer。上段に property 名と現在値、下段に横方向の `row` で菱形、時刻 label、selected state を並べ、最後に `Interpolation` summary。グラフ canvas は使わず標準 widget で story 化する。	** Key glyph click は drawer を開くだけの story entry、キー button は選択/解除、時刻の direct edit は後段として disabled placeholder。既存の Key click は drawer 外の通常 row で維持する。	** drawer72px、key marker16px、panel幅360px。キー数が多い時は横 `scrollable` ではなく要約（first/current/last）へ畳む。	** `KeyframeTrack` の既存 read、timeline grammar の time order、既存 key glyph を再利用する。key selection state と graph editor は別機構を増やさず、詳細編集は未接続 story と明示する。
I12	inspector	Text Style Key Strip	** Text の Size、Line Height、Tracking は animatable なのに、Content/Font/Justify と同じ静止欄に見えて keyframe の入口を失う問題を解決する。	** タイトルのサイズ、行間、字間を時間で変え、モチベーション動画の「出現」と「余韻」を作る。	** TEXT section を `Content card` と `Style card` に分け、Style card の Size/Line Height/Tracking だけ `PROP / VALUE / KEY` の三列、Font/Justify は二列。Style card 上部に text specimen を一行置く。	** Size/Line Height/Tracking は `text_style_key_button` と既存 drag-to-scrub/submit、Font は `pick_list`、Justify は cycle button、Content は `text_editor` と Cmd/Ctrl+Enter commit。異なる入口を見た目でも分ける。	** specimen32px、style row30px、content editor 72px。360px幅を基準にし、長い本文は editor 内で scrollable。	** `TextSectionProjection`、`TextStyleField`、style track commit/toggle、`text_editor` を再利用する。style card の grouping と specimen preview だけ自前で、Content を KeyframeTrack に偽装しない。
I13	inspector	Effect Rack	** Effects が単なる設定行の束に見え、適用順・bypass・parameter の関係が読めない問題を解決する。	** Glow などの効果を積み、hero の輪郭・発光・余韻を「足す順序」として作る rack である。	** `EFFECTS` section を effect ごとの `container(column![effect header, params])` にする。header は name、bypass toggler、up/down/remove buttons、params は `indent + label/value/key`。effect 間は薄い `rule`。	** Bypass は `ToggleEffectBypass`、順序は move up/down、削除は remove。param value/key は Transform row 文法、未知 param は出さない。header collapse は presentation state。	** header30px、param28px、indent12px、rack幅340px。effect が多い時は一つだけ展開する story と全展開 story を比較できる。	** `EffectRowProjection`、`effects_with_moved_*`、`toggle_inspector_effect_bypass`、`parameters_for_provider` を再利用する。rack card の見た目のみ自前で、effect param 専用 editor は作らない。
I14	inspector	Provider Parameter Console	** provider ごとに parameter 数・型・keyframe 可否が違うのに、全 effect を同じ固定フォームで扱おうとする問題を解決する。	** Glow のような効果を「その provider が宣言した意味」の範囲で調整し、未定義の knob を増やさず hero の質感を作る。	** effect header の下に provider badge、capability summary、catalog 順の parameter rows。Scalar は数値 cell、Bool は toggler、Enum は compact button/pick list とし、右端 Key は descriptor の `keyframeable` が true の時だけ active にする。	** `ParameterDescriptor` の label/default/capability から editor を選ぶ。未知の kind は generic read-only row、unknown provider は I15 へ。parameter の編集確定は既存 field draft/Intent に合わせる。	** provider badge22px、param28px、最大2列ではなく一列優先。effect 名と provider 名を混ぜず、幅320pxで可読性を守る。	** `InspectorDevice`、`ParameterDescriptor`、`ParameterCapabilities`、provider registry を委託先にする。type-to-editor の最小 adapter 以外は固定 parameter enum や provider-specific scratch を作らない。
I15	inspector	Unknown Provider Safe Dock	** 未知 provider に対して UI が勝手に parameter を捏造したり、空白だけを出して原因を隠したりする問題を解決する。	** 既存 hero を壊さず、読み込んだ効果が「存在するが編集不能」なのかを明確にし、次の復旧判断へ進める。	"** effect header は通常の name/bypass/order を保持。params area は `container(column![warning icon, ""Provider unavailable"", provider id, ""0 declared parameters""])`。下に read-only `preserved tracks` summary と retry/replace の future button を置く。"	** provider id は copyable text、bypass/order/remove は通常どおり。parameter rows/pick_list は表示しない。warning tooltip に「catalog が空なので意味を発明していない」と出す。	** warning card64px、header30px、320px幅。警告色だけに依存せず、見出しと provider id を必ず文字で置く。	** `device_for_provider(...)=None` と空 parameter catalog の既存 fallback を再利用する。error card と future action の見た目だけ自前で、未知 provider の schema decoder は Inspector で scratch しない。
I16	inspector	Effect Order Ladder	** 複数 effect の上下順が小さな up/down button だけでは把握しにくく、見た目の因果を作れない問題を解決する。	** `Color → Blur → Glow` のような適用順を視覚的な梯子にし、hero の輪郭から発光までを上から下へ組み立てる。	** 左に細い順序 rail `01/02/03`、中央に effect header、右に bypass/remove。展開した effect だけ params をインデントし、折りたたみ effect は provider/name/one-line summary にする。	** up/down buttons は既存 move Intent、並べ替え drag は story では disabled として表示し、未実装の別 write path を暗示しない。header click で collapse、param row は通常編集。	** order rail24px、header30px、param28px、幅340px。3〜5 effect を一画面で比較できる縦密度を基準にする。	** `effects_with_moved_up/down` と effect list order を再利用する。rail と collapse decoration だけ自前で、drag reorder の意味は追加しない。
I17	inspector	Bypass A/B Strip	** effect の enabled が静止 toggle に見え、bypass と remove の違い、時間で切り替わる状態が分からない問題を解決する。	** 効果あり/なしをすばやく聴き比べ・見比べし、hero に本当に必要な効果だけを残す。	** effect header に `ON/OFF` label、状態 dot、Key glyph を横並びにし、その下に params。右端に remove を離して配置し、破壊操作と bypass を視覚的に分ける。	** `toggler`/header button は enabled track の current evaluated value を切り替え、Key glyph は `KeyRow::EffectEnabled` の3状態。remove は別 button + tooltip。状態 dot は decoration であり真実を保持しない。	** header32px、A/B strip は24px、params28px。色覚差に備え ON/OFF 文字を常に表示する。	** `EffectRowProjection.enabled`、`enabled_key`、`toggle_inspector_effect_bypass` を再利用する。A/B strip の見た目だけ自前で、bypass を effect list から除去する処理は作らない。
I18	inspector	Copy-First Text Editor	** Text layer を選んでも本文入力が目立たず、hero のメッセージを作るまでに設定欄を通過しすぎる問題を解決する。	** コピーを最初に置き、フォント・サイズ・色を後から整える。モチベーション動画の言葉を作るための primary authoring surface。	** TEXT section の先頭に `text_editor` を大きな card として置き、下に `Font Family / Size / Justify`、さらに `Line Height / Tracking / color`。editor 上部に character count ではなく layer name と本文の role label を置く。	** `ContentEditorAction` で編集し Cmd/Ctrl+Enter で commit、blur でも既存規約に従う。Font は `pick_list`、Size/Line Height/Tracking は text field + drag/key、Justify は cycle button。	** editor84px、style row30px、320〜380px幅。本文の複数行を優先し、font path の技術情報は tooltip に隠す。	** `text_editor`、`ContentEditorCommit`、`TextSectionProjection`、font pick の既存経路を再利用する。copy card の背景と順番だけ自前で、text document の部分更新モデルを新設しない。
I19	inspector	Typography Specimen Rail	** Font、Size、Line Height、Tracking の数値を見ても、実際の見出しの印象を想像しにくい問題を解決する。	** hero の言葉を「読める」だけでなく、ポスターの声量・呼吸・重心として調整する。	** 上に実際の `content` を `text` で描く specimen band、下に typography controls を `column`。Font row は family/path summary、Size/Line Height/Tracking は値+Key、Justify は三択を巡回する compact button。	** controls の変更は既存の commit semantics、specimen は projection の resolved style だけを読む。specimen 自体は編集不可で、editor entry は I18 の content card へ tooltip link とする。	** specimen56px、control28px、panel360px。本文が長い時は一行 ellipsis ではなく最初の2行を clip して typographic rhythm を見せる。	** `TextDocumentStyle`、resolved projection、既存 token typography を再利用する。preview text の表示 adapter だけ自前で、別 font renderer や style cache は作らない。
I20	inspector	Text Motion Workbook	** Text style の keyframeable fields と静止 fields が混ざり、文字の登場演出を設計しにくい問題を解決する。	** Size/Line Height/Tracking の3つを時間軸の小さな workbook として扱い、タイトルの grow、breath、tracking-in を作る。	** `text_editor` は折りたたみ、Style workbook を主役にする。各 animatable row に左 label、current value、Key glyph、右に `track present` mini line。Font/Justify は `STATIC` group にまとめる。	** Size/Line Height/Tracking の Key button と drag/submit は既存 text-style route。mini line は read-only story fixture。Font/Justify に Key を表示しない。	** workbook row32px、static row26px、mini line40px。340px幅、縦に3 animatable rows が常に見えることを優先する。	** `TextStyleField`、`toggle_text_style_key`、`commit_text_style_track_field`、`KeyCellState` を再利用する。mini line は read-only 表現に留め、Content/Font/Justify の新しい keyframe 機構は作らない。
I21	inspector	Missing Font Recovery Card	** Font path が壊れていても text layer が空白に見え、本文の問題なのか font の問題なのか分からない状態を解決する。	** hero のコピーを失わず、代替 font を選んで再び画面上の主役へ戻すための復旧席。	** specimen の場所に fallback text を描き、上部に `Font unavailable` banner、中央に family/path、下部に `pick_list` と `Use fallback` button。Size/Justify は下段で編集可能なまま残す。	** `PickFont` は family と path を同時に commit。pick list が空なら path を捏造せず、error text と既存 content editor entry を表示する。fallback は story action として disabled/available を fixture で分ける。	** banner32px、specimen56px、font recovery row36px、360px幅。赤一色にせず icon/text/path を併記する。	** `font_family_row`、`commit_text_font_pick`、`TextDocumentProjection` の既存 fallback を再利用する。missing state のカードだけ自前で、font discovery や path resolver を Inspector に作らない。
I22	inspector	Swatch-First Color Desk	** RGBA の数字を先に見せると、hero の色の印象と Fill/Stroke の対象が分からない問題を解決する。	** タイトルの Fill と Stroke を一目で比べ、画面の温度・コントラスト・ブランド色を決める。	** Color section 上部に大きな swatch pair `FILL | STROKE`、下に各 target の R/G/B/A channel rows。target label と swatch を左に固定し、8-bit value を右に置く。	** swatch click は対応 channel input に focus、channel は draft→commit。Fill と Stroke は target を明示し、Stroke None は既定色から promotion される既存意味を helper text で示す。	** swatch44px、channel26px、panel320〜360px。hex を新しい入力として増やさず、既存の8-bit channel convention を主にする。	** `color_row`、`ColorFieldDraft`、`ColorTarget`、`parse_color_channel_u8`、既存 label chip formula を再利用する。swatch-first の layout だけ自前で、別 color model は作らない。
I23	inspector	Fill / Stroke Split	** Fill と Stroke の channel が縦に混ざり、どちらを編集したか分からない問題を解決する。	** 文字の面と縁を別々の役割として調整し、背景上で読める hero title を作る。	** `row![fill_card, stroke_card]` を横に置ける幅では二分割、狭幅では縦 stack。各 card は target swatch、target label、RGBA 4行、Key/animation は表示しない（現行 color module の範囲）。	** 各 card の channel input は target を payload に持ち、片方の変更で他方を触らない。Stroke None の場合は default base を使う既存 commit を表示し、card 自体は empty にならない。	** 広幅360px以上、card最小168px、channel24px。狭幅260pxでは縦 stack とし、左右を無理に潰さない。	** `ColorTarget::Fill/Stroke`、commit の mismatched-draft guard、channel parser を再利用する。二枚 card の layout だけ自前で、color picker/wheel は追加しない。
I24	inspector	Color Channel Audit	** 色の見た目は良くても、alpha や一つの channel の入力だけが意図せず変わり、微調整の履歴が追えない問題を解決する。	** 最後の色合わせを精密に行い、背景上で文字が沈まない hero finish を作る。	** 上に swatch と `rgba(… )` summary、下に R/G/B/A の4行。各 row は channel name、8-bit input、thin value bar、reset affordance。summary は read-only。	** input は既存 draft/submit、bar は decoration。無効な文字列は row 内 error text として留め、Document を書かない。同値 commit は undo step を増やさない。	** summary36px、channel28px、320px幅。bar は4px、input は38px以上を確保し、数値の legibility を優先する。	** `parse_color_channel_u8`、commit validation、same-value no-op、RGBA index mapping を再利用する。value bar の表示だけ自前で、色補正計算や別履歴を作らない。
I25	inspector	Link Matrix	** Position、Scale、Rotation、Opacity、Anchor のどれが別レイヤーに委譲されているかが、個別 pick list を開かないと分からない問題を解決する。	** hero の主役と補助レイヤーを結び、同じ動きを保ったまま複数素材で構図を作る。	** LINK section を5行固定の matrix にする。各 row は target property、現在 source（`—`/`Layer (#id) · Property`）、右端 `pick_list`/clear button。リンク済み行には薄い chain glyph を付ける。	** pick list は `LinkSourceCandidate` をそのまま表示し、candidate の layer id を必ず含める。clear は source を通常 track/slot に戻す既存 intent、cycle/error は link status helper に出す。	** row30px、property label68px、320px幅。5行を常時並べ、空の link も `—` として入口を残す。	** `LinkTarget::ALL`、`LinkRowProjection`、`commit_inspector_link`、`clear_inspector_link`、cycle exclusion を再利用する。matrix decoration だけ自前で、effect/mask param link を勝手に拡張しない。
I26	inspector	Source Picker Spotlight	** 候補が多い project で、どの layer/property を link 元に選ぶかを確認しにくい問題を解決する。	** hero の制御元を意図的に選び、後からレイヤー名の重複で壊れない制御関係を作る。	** 選択中 target の一行だけを上部 spotlight に拡大し、`target → source` の矢印を見せる。下に他の4 target を compact list。spotlight 内に `pick_list` と current source chip、clear button を置く。	** row click で spotlight target を変える。pick list の label は `name (#id) · property`、循環候補は catalog から除外済みとして出さない。選択確定は既存 `SetPropertyLink` の一回で行う。	** spotlight56px、compact row24px、360px幅。候補リストは popup に任せ、panel 内に別検索 state を作らない。	** `LinkSourceCandidate::display_label`、projection の cycle filter、stock `pick_list` を再利用する。spotlight の selection/presentation state だけ自前で、link graph の別解決器は作らない。
I27	inspector	Link Safety State	** 自己参照・循環・対象消失の link が「選べない」のか「壊れている」のか不明で、制作の因果を追えない問題を解決する。	** hero の制御関係を安全に保ち、リンクを使った演出が無言でループしたり消えたりしないようにする。	** link row に state chip `Linked / Unlinked / Blocked`、source label、reason line を置く。Blocked は `not allowed` icon + 明示文、Linked は chain glyph + source、Unlinked は通常の pick list を保持する。	** blocked candidate は popup に出さず、row tooltip で cycle reason を説明。source missing は read-only broken chip と clear action。成功した link の entry は I25 と同じ。	** row38px（reason がある時）、通常30px、320px幅。state は色だけでなく文字を表示する。	** UI 側の `link_would_cycle` 相当の projection、store の最終拒否、既存 clear/commit を再利用する。reason text の adapter だけ自前で、循環判定を二重の新規アルゴリズムにしない。
I28	inspector	No Selection Landing	** 選択なしの Inspector が単なる空白になり、次に何をすれば hero creation が始まるか分からない問題を解決する。	** 最初の選択を促し、空の project から「一枚の主役」を作る導線にする。通常ソフトの設定空間ではなく creation start screen として扱う。	"** `container(column![large selection glyph, ""Select a layer"", one-line hint, shortcut chip])` を panel 中央に置く。現在の `選択なし — layer を選ぶと Transform / Attrs が並ぶ` の意味を保ち、補助 action は一つだけにする。"	** panel 内の action は Stage/Timeline での選択へ focus を戻す read-only/host message。空白をクリックして勝手に layer を作らない。Esc は host の focus semantics に戻す。	** center card 220px、icon48px、headline16px、hint12px。panel幅240〜360pxで余白を多くし、空状態をエラー密度にしない。	** 既存 `empty_state`、`Session` focus、token typography を再利用する。large glyph と shortcut chip の presentation だけ自前で、empty state から Document mutation を発明しない。
I29	inspector	Mixed Selection Triage	** Text、Shape、Media が混在した選択で、編集できる section とできない section が分からず、誤って全レイヤーへ適用しそうになる問題を解決する。	** 異なる素材をまとめて選び、共通のモーション/名前/可視性だけを揃えつつ、固有の hero controls は対象を選んで続ける。	** 上部に `N layers selected` band と type chips。中央に `Common controls`（bulk-safe attrs/transform の summary）、下に `Text only / Shape only / Media only` の collapsed cards。編集不能 card には対象数と理由を出す。	** common controls は既存 bulk entry、type card click は selection を変えず filter/read view だけを切り替える。Text card は全選択が Text の時だけ `text_editor`、混在時は read-only summary にする。	** band34px、type chip20px、card30px、320〜360px幅。混在理由は一行に限定し、長文 tooltip へ送る。	** `selection_count`、`text_layer_count`、既存 multi-selection view と compatibility rule を再利用する。triage card の grouping だけ自前で、混在値を架空の共通 property に変換しない。
I30	inspector	Inspector Recovery Envelope	** projection error、unknown provider、missing source、壊れた値が同じ無言の空欄になり、hero を直す入口を失う問題を解決する。	** 既存の制作状態を隠さず、何が編集可能で何が復旧待ちかを見える化して、途中の hero を安全に救う。	** panel top に status envelope `Ready / Partial / Blocked`、その下に編集可能な sections、最後に `Recovery` stack。各 issue は severity icon、対象（layer/provider/property）、原因、safe action を一枚の `container` にする。正常な Transform は警告に埋めない。	** safe action は既存の retry/clear/remove/select-source へ限定し、原因不明の auto-fix button は出さない。編集可能な row は通常経路を維持し、壊れた row は read-only + tooltip。provider catalog が空なら I15 の fallback を使う。	** status28px、normal row28px、issue card52px、360px幅。問題がない時は Recovery stack 自体を出さず、警告を常設しない。	** `device_for_provider` fallback、projection の欠損/empty 判定、既存 clear/remove/selection entry を再利用する。envelope の表示と issue grouping のみ自前で、Inspector が修復ロジックや別エラーモデルを所有しない。
ST-01	stage	stage-camera-truth / Camera Truth	いま見ている絵が書き出される絵なのか分からず、heroの判断を止める。	Camera viewを「完成物と同じ視点」と一目で伝え、安心して主役の配置と動きを試せる。	canvasを全面の主役にし、上縁にCamera / User Viewの二択だけを置く。compのletterboxを暗幕、作品を最も明るい面、下縁を小さな状態帯にする。	Cameraタブで出力視点へ戻る。User Viewからも同じタブへ戻れる。絵の上には余計な常設ボタンを置かない。	sparse。1920×1080の単一テキスト＋背景、1600px幅以上の大きなcanvasを想定。	視点タブ、letterbox、render_frame、状態帯へ委託する。自前はstory用の内容とCameraの意味を示す最小ラベルだけ。別のpreview計算は作らない。
ST-02	stage	stage-user-view-return / User View Return	世界を眺める途中で出力枠を見失い、探索がそのまま誤った構図になる。	少し引いた視点から空間の勢いを探し、1操作で完成画角へ戻って試行錯誤を続ける。	User Viewを選択状態の面塗りで示し、canvas内に出力カメラの枠だけを細く重ねる。枠外は暗く、枠内のheroを明るくする。	ホイールで観測zoom、中ボタンドラッグでpan。下縁の「Return to Camera」とShift+Fは同じ動詞へ向ける。	sparse-to-balanced。zの異なる3層を置き、カメラ枠と視差が読める900×600以上のcanvas。	ObservationCamera、zoom_at_screen_point、pan_by_screen_delta、frame cornersを再利用する。自前は枠外暗幕と復帰ラベルの見せ方だけ。観測値をDocumentの第二カメラにしない。
ST-03	stage	stage-point-cloud-observatory / Point Cloud Observatory	点群が単なる密な画像に見え、奥行きと主役の位置を発見できない。	点群の密度と奥行きから、静止画では出ない空間的なheroの核を見つける。	黒に近いcanvasに点群を大きく置き、選択した密度塊だけを淡いhaloで囲む。上縁にはCamera / User View、右下には小さなDepth range readoutだけ。	点群の塊をクリックして選択。wheelで観測zoom、middle dragでpan。選択の焦点化は既存のStage選択入口から入る。	dense。数万点、前景・中景・背景の3密度層を想定。点が小さくても主役のhaloが読める1200px幅。	point_cloud / depth_cloudの描画はre_rendererへ、視点はComposition.cameraとObservationCameraへ委託する。自前は密度塊の選択haloだけ。クラスタリングや点群rendererを新規実装しない。
ST-04	stage	stage-parallax-ladder / Parallax Ladder	zを変えれば視差が出るのに、どの層が前後にあるかを画面上で推測しにくい。	文字・画像・点群を奥行きの階段へ置き、最小の操作でheroらしい前後感を作る。	canvasを左85%、右に細いDepth ladderを置く。選択層の点だけ明るくし、pinned層は梯子の外に小さく固定表示する。	選択層の点を上下へドラッグしてzを調整する案。0位置へのresetは既存のproperty操作へ戻す。Camera姿勢のorbitは提供しない。	balanced。5層まで。canvasは1000×650以上、ladderは視線を奪わない48px程度。	LayerPlacementのz、pinned、既存のcamera projectionへ委託する。自前はzの可視化と入力変換の薄い継ぎ目だけ。レイヤー専用の3D世界や第二カメラは作らない。
ST-05	stage	stage-depth-scan / Depth Scan	点群や3Dメッシュの前後関係が一枚の塊になり、どこを主役にすべきか判断できない。	深度の帯を観察して、視差が最も強く出る部分をheroの焦点へ昇格させる。	canvasの下辺にだけ、前景・中景・背景を示す三段のdepth scan stripを置く。主役の点群は中央、帯は小さく半透明にする。	scan stripの帯をクリックして対応する深度群をhighlight。wheelとpanはUser Viewの既存操作。Camera viewでは出力枠を保つ。	balanced。3深度帯、選択前後の差が分かる程度の点数。横幅1200px、帯は32px。	point/depth rendererとObservationCameraへ委託し、表示専用のhighlightだけを自前にする。深度解析・再配置の正本をStage内に持たない。
ST-06	stage	stage-fixed-axis-perspective / Fixed-axis Perspective	2.5Dの奥行き表現は欲しいが、自由orbitを入れると世界・書き出し・操作の意味が増殖する。	固定軸のままzとzoomだけで透視のインパクトを体験し、Motoliiの一つの世界という考え方を直感化する。	canvas中央に薄いvanishing depth guide、上縁に「Perspective / fixed axis」の状態ラベルだけを置く。操作器具は増やさず作品を最優先する。	User Viewのpan/zoom、選択層のz調整だけ。cameraの向き変更入口は作らない。Cameraタブではguideを消す。	sparse。z=0の平面2枚とzを持つ1枚を比較できる、1000×560以上のcanvas。	Projection::Perspective、Composition.camera、glamの既存数学へ委託する。自前は固定軸であることの説明guideだけ。自由orbit、handedness、pose propertyを先に発明しない。
ST-07	stage	stage-frame-lock / Composition Frame Lock	letterboxの外へ配置した素材が「壊れた」のか、意図したcropなのか分からない。	画角の外側を恐れずに主役を大きくし、最後に出力枠へ戻して構図を決められる。	comp rectangleを明るい境界、枠外を均一な暗幕、選択layerをその上に描く。枠線は作品を囲う装飾ではなく、出力範囲の意味として一重にする。	Camera viewでframe lockを表示。User Viewではframeを観測しながらpan/zoom。Fitは既存のview操作へ委託し、枠をdragしてcameraを複製しない。	sparse。単一のhero titleが枠を一部はみ出すfixture。800×500から成立。	letterboxed_rect、render camera corners、Camera/User Viewを再利用する。自前は暗幕の階調と枠の状態表現だけ。新しいcrop stateは持たない。
ST-08	stage	stage-thirds-tension / Thirds Tension	主役を中央に置くだけになり、視線の流れや余白を試せない。	文字や点群を三分割の交点へ置き、最初の一枚から意図のあるhero構図を作る。	canvas全体に9分割を薄く敷き、4つの交点だけをhover時に少し明るくする。grid名や説明文は常設しない。	Stageのsheet toggleからGridを選択。gizmoで主役を交点へ移す。snapは見せず、必要なら補助点を一時表示するだけ。	sparse。主役1、支え2、背景1。1280×720以上で線が作品を覆わないことを想定。	SheetOverlay、GizmoOverlay、既存のposition propertyへ委託する。自前は交点のhover cueだけ。独自のlayout engineやsnap正本を作らない。
ST-09	stage	stage-golden-flow / Golden Flow	静止したheroの中で視線の進行方向を設計できず、画面が平板になる。	黄金比の流れへ文字の起点と点群の密度を沿わせ、動きの出発点を決める。	黄金比guideを一枚だけcanvasへ重ね、螺旋の終点に小さなfocus markerを置く。guideは低コントラスト、作品は常に前面。	SheetsのGoldenを選び、gizmoでheroをguide上へ置く。markerは表示専用で、押して新状態を作らない。	sparse-to-balanced。文字1と点群1の二主役を想定。1000×600以上。	既存のgolden sheetとcamera-to-screen変換へ委託する。自前は終点markerとfixtureの初期配置だけ。黄金比から自動レイアウトを発明しない。
ST-10	stage	stage-safe-title / Safe Title	文字MVの主役がsafe areaを越え、見栄えの良い構図と発信できる構図が衝突する。	文字を大きく動かしながら、タイトルの可読範囲を守る。	title-safeを内側の細線、action-safeを外側の点線、文字のbboxを最も明るい線で表示する。作品外の説明は一行のlegendだけ。	Safe areasのsheet toggleから表示。gizmoで文字を動かすとbboxだけ追従する。guide自体は編集対象にしない。	balanced。3行の日本語タイトル＋背景画像。900×600以上で日本語の輪郭がsafe線に埋もれない。	SheetToggles、text layerのbbox、GizmoOverlayへ委託する。自前はsafeの二重線とlegendだけ。text layoutやexport safe判定をStageで二重化しない。
ST-11	stage	stage-roll-horizon / Roll Horizon	camera rollで画面に勢いを与えたとき、水平の基準を失って調整が偶然になる。	文字や点群の斜めの力を意図的に作り、rollをheroの演出として扱う。	canvas中央に短いhorizon lineを薄く置き、作品の角度とCameraのrollを同時に読めるようにする。Camera viewではlineを消し、User Viewでのみ出す。	camera roll propertyの既存入力へ移る。Stage上のhorizonは基準線であり、回転handleの代わりにしない。	sparse。大きな一文字＋3層の点。1000×560以上。	Composition.cameraのroll、既存camera property、ObservationCameraへ委託する。自前はhorizonの表示だけ。camera専用の新しい状態所有者は作らない。
ST-12	stage	stage-overlay-stack / Overlay Stack	grid、safe、frame、selectionが同時に出ると、heroの輪郭より補助線が目立つ。	必要なguideだけを瞬時に残し、作品の主役へ視線を戻す。	canvasの左上に縦積みの小さなstate chipsを置く。activeなsheetだけがcanvasへ描画され、inactiveなものは薄い文字で存在だけ示す。	chipをクリックしてGrid、Thirds、Golden、Safe、Frameを個別にtoggle。Escapeでchipsを畳むが、canvasの意味は変えない。	balanced。guideが5種類、作品は3層まで。chipsは28px幅の縦列で、canvasを覆わない。	SheetToggles、frame overlay、既存viewer stateの表示専用状態へ委託する。自前は複数toggleを一つの視覚的入口へ束ねる薄い器だけ。新しいoverlay計算は作らない。
ST-13	stage	stage-gizmo-bounds / Transform Bounds	変形値をInspectorで探す間に、作品の見た目と操作の因果が切れる。	文字・画像・点群を直接つかみ、位置・拡縮・回転を見た結果のまま試せる。	選択layerのbboxを中太線、8つのscale handleを小さな面、中心のanchorを別形状で描く。非選択layerの輪郭は消す。	bbox内はmove、8 handleはscale、外周handleはrotate、anchorはpan-behind。dragはStart→Move→Commit/Cancelの一周にする。	balanced。選択1、周辺layer4。canvas 900×600以上、handleは高DPIでも指で拾える大きさ。	GizmoTarget、gizmo hit-test、GizmoDragの契約、PropertyIdへ委託する。自前はstory fixtureと色の状態差だけ。Stage内でDocumentを書かない。
ST-14	stage	stage-anchor-compensation / Anchor Compensation	anchorを動かすとlayerの見た目まで動き、回転中心を試すことが怖くなる。	文字の中心や点群の重心をずらして、回転・拡縮の感情的な軸を作る。	anchor markerをbbox中心から離して強調し、元の中心と補償後のpositionを細いghost lineで結ぶ。ghostはdrag中だけ出す。	anchorをdragすると見た目を保ったままpositionを補償。Escでtransientを捨て、releaseで一つの編集として確定。	sparse。大きな単語1つ、補償線が読める1200×700。	GizmoValue::Anchorのanchor＋position対書き、transient、1 gesture＝1 commitへ委託する。自前はghost lineだけ。anchor用の第二historyや別transform modelは作らない。
ST-15	stage	stage-rotation-ring / Rotation Ring	kinetic typeを回すとき、pivotと角度の関係が見えず、勢いを偶然に頼る。	文字の回転軌道を目で読み、静止画でも動きの予感があるheroを作る。	bboxは低コントラスト、外側のrotation ringとanchorだけを高コントラストにする。cursor近くに一時的な角度値を置く。	ringをdragしてrotation propertyを更新。releaseでcommit、Escでcancel。bodyやscale handleとのhit-test順は既存gizmoに従う。	sparse-to-balanced。大きな文字1、補助図形2。ring外周に余白を取れる1000×650。	既存Rotate handle、GizmoPhase、rotation propertyへ委託する。自前はdrag中の角度readoutだけ。別のrotation editorや常設numeric panelは作らない。
ST-16	stage	stage-selection-constellation / Selection Constellation	複数の素材を同じheroの群れとして扱うと、何が選択されているか見失う。	文字、点、背景の役割を一つの視覚的なまとまりとして試し、群れの重心を作る。	active layerは明るいbbox、他の選択layerは細い点線、非選択layerは通常表示。画面端に選択数を一行だけ出す。	marquee、Shift追加、空クリック解除。shared boxを出す案では、1 gesture＝1 commitのDocument batchへ戻す。	dense。選択8、非選択10まで。canvas 1200×700以上、bboxが重なってもactiveを判別できること。	MarqueeOverlay、Session selection、Document::apply_allへ委託する。自前はshared selection outlineを足す場合の薄い表示だけ。選択正本をStageに複製しない。
