map_id	verdict	scope	canonical	meaning	problem	bundle	technical_route	technical_delegate	scratch_policy	scratch_boundary	judgment	evidence	decision_status
237	構造吸収	absorbed	Move selected items down/up in stacking order	選択項目を重ね順で上下に移動	transformの便利操作ごとに専用状態・書き口が増える	B44	既存構造	Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112)	不要	独立したowner・状態・検収を増やさない	因果未記入: transformの便利操作ごとに専用状態・書き口が増える は Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112) で 位置・拡縮・回転・順序の結果だけが変わる に到達する。reset/center/flip/increment/fit/stackのaliasとtool は独立実装しない	next/core/motolii-store/src/document.rs:95-109	構造吸収から導出
238	構造吸収	absorbed	Move selected items to bottom/top of stacking order	選択項目を最上/最下へ移動	transformの便利操作ごとに専用状態・書き口が増える	B44	既存構造	Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112)	不要	独立したowner・状態・検収を増やさない	因果未記入: transformの便利操作ごとに専用状態・書き口が増える は Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112) で 位置・拡縮・回転・順序の結果だけが変わる に到達する。reset/center/flip/increment/fit/stackのaliasとtool は独立実装しない	next/core/motolii-store/src/document.rs:95-109	構造吸収から導出
239	拡張		Multicam	マルチカム編集コントロールを開く	マルチカム編集コントロールを開く	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
240	拡張		Multicam Cut	マルチカムカット	マルチカムカット	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
241	拡張		Multicam Switch	マルチカム切替	マルチカム切替	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
242	不採用		Nest	選択クリップをネストシーケンス化	選択クリップをネストシーケンス化		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
243	拡張	extension	New > Adjustment Layer	調整レイヤーを新規作成	調整レイヤーを新規作成	B36	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
244	拡張	extension	New adjustment layer	新規調整レイヤー	新規調整レイヤー	B36	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
245	不採用		New Compound Clip	コンパウンドクリップ作成	コンパウンドクリップ作成		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
246	不採用		New VFX Connect Clip	VFX Connectクリップ作成	VFX Connectクリップ作成		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
247	拡張	extension	Normal Edit Mode	通常編集モード	通常編集モード	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
248	拡張	extension	Nudge	微調整移動	微調整移動	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
249	拡張	extension	Nudge Clip Left	クリップを左に微調整	クリップを左に微調整	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
250	拡張	extension	Nudge Clip Right	クリップを右に微調整	クリップを右に微調整	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
251	拡張	extension	Nudge Clip Selection Left/Right Five Frames	クリップ選択を5フレーム移動	クリップ選択を5フレーム移動	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
252	拡張	extension	Nudge Clip Selection Left/Right One Frame	クリップ選択を1フレーム移動	クリップ選択を1フレーム移動	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
253	拡張	extension	Nudge Edit One Frame Left	,(comma)	,(comma)	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
254	拡張	extension	Nudge Edit One Frame Right	.(period)	.(period)	B45	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
255	不採用		Overwrite	上書き編集	上書き編集		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
256	不採用		Overwrite	上書き	上書き		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
257	不採用		Overwrite	上書き編集	上書き編集		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
258	不採用		Overwrite	F10	F10		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
259	構造吸収	absorbed	Place on Top	上位トラックに配置	transformの便利操作ごとに専用状態・書き口が増える	B44	既存構造	Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112)	不要	独立したowner・状態・検収を増やさない	因果未記入: transformの便利操作ごとに専用状態・書き口が増える は Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112) で 位置・拡縮・回転・順序の結果だけが変わる に到達する。reset/center/flip/increment/fit/stackのaliasとtool は独立実装しない	next/core/motolii-store/src/document.rs:95-109	構造吸収から導出
260	構造吸収	absorbed	Place On Top	F12	transformの便利操作ごとに専用状態・書き口が増える	B44	既存構造	Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112)	不要	独立したowner・状態・検収を増やさない	因果未記入: transformの便利操作ごとに専用状態・書き口が増える は Property/LayerPlacement/SetOrder(next/core/motolii-store/src/document.rs:95-109;next/DECISIONS.md:61,112) で 位置・拡縮・回転・順序の結果だけが変わる に到達する。reset/center/flip/increment/fit/stackのaliasとtool は独立実装しない	next/core/motolii-store/src/document.rs:95-109	構造吸収から導出
261	拡張	extension	Placeholder…	プレースホルダーで置換	プレースホルダーで置換	B08	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
262	拡張	extension	Publish Changes for Selected Clips	Shift+Command+T	Shift+Command+T	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
263	不採用		Q/W = Insert at playhead / Overwrite(矛盾する別記述)	プレイヘッドに挿入/上書き	プレイヘッドに挿入/上書き		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
264	不採用		Q/W = プレイヘッド左右のripple削除	プレイヘッド前後を詰めて削除	プレイヘッド前後を詰めて削除		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
265	拡張	extension	Range Selection Mode	範囲選択モード	範囲選択モード	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
266	拡張	extension	Razor Tool	レーザーツール	レーザーツール	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
267	構造吸収	absorbed	Razor(split)	Command+B	時間編集が別モード・別intentへ分裂する	B39	既存構造	LayerTiming+SetTiming(next/core/motolii-store/src/document.rs:95-147;next/core/motolii-store/src/lib.rs:311)	不要	独立したowner・状態・検収を増やさない	因果未記入: 時間編集が別モード・別intentへ分裂する は LayerTiming+SetTiming(next/core/motolii-store/src/document.rs:95-147;next/core/motolii-store/src/lib.rs:311) で move/trim/splitを同じ時間正本で評価する に到達する。Add Edit/Razor/Blade/Trimの入口alias は独立実装しない	next/core/motolii-store/src/document.rs:95-147	構造吸収から導出
268	拡張	extension	Render In to Out	In-Out間をレンダリング	In-Out間をレンダリング	B18	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
269	採用済		Reset Clip(speed)	Option+Command+R	Option+Command+R	B37	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
270	拡張	extension	Reset Retime	リタイムをリセット	リタイムをリセット	B37	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
271	採用済		Resize	リサイズ	リサイズ	B44	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
272	拡張	extension	Retime Clip	Command+R	Command+R	B37	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
273	拡張	extension	Retime Controls	リタイムコントロール表示	リタイムコントロール表示	B37	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
274	拡張	extension	Reverse Match Frame	タイムライン側の一致フレームを探索	タイムライン側の一致フレームを探索	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
275	不採用		Ripple	リップルトリム	リップルトリム		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
276	不採用		Ripple Cut	リップル切り取り	リップル切り取り		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
277	不採用		Ripple Edit Tool	リップル編集ツール	リップル編集ツール		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
278	不採用		Ripple Overwrite	リップル上書き	リップル上書き		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
279	不採用		Roll	ロールトリム	ロールトリム		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
280	不採用		Rolling Edit Tool	ローリング編集ツール	ローリング編集ツール		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
281	拡張	extension	Select All Clips Under Playhead	プレイヘッド下の全クリップ選択	プレイヘッド下の全クリップ選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
282	拡張	extension	Select Clips Forward On All Tracks	Option+Y	Option+Y	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
283	拡張	extension	Select Clips Forward On This Track	Y	Y	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
284	拡張	extension	Select Nearest Clip To	最寄りクリップへの選択	最寄りクリップへの選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
285	拡張	extension	Select Nearest Clip/Gap	最寄りクリップ/ギャップを選択	最寄りクリップ/ギャップを選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
286	拡張	extension	Select Nearest Clip/Gap	Shift+V	Shift+V	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
287	拡張	extension	Select Nearest Edit Point	最寄り編集点を選択	最寄り編集点を選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
288	拡張	extension	Select Nearest Edit To	最寄り編集点への選択	最寄り編集点への選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
289	拡張	extension	Select Nearest Video Edit Point	最寄り映像編集点を選択	最寄り映像編集点を選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
290	拡張	extension	Select next layer in stacking order	次のレイヤーを選択	次のレイヤーを選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
291	拡張	extension	Select previous layer in stacking order	前のレイヤーを選択	前のレイヤーを選択	B31	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
292	採用済		Send Layer Backward	背面へ	背面へ	B44	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
293	採用済		Send Layer to Back	最背面へ	最背面へ	B44	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
294	拡張	extension	Set sampling method to Best/Bicubic	サンプリング:最高/バイキュービック	サンプリング:最高/バイキュービック	B23	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
295	拡張	extension	Set sampling method to Best/Bilinear	サンプリング:最高/バイリニア	サンプリング:最高/バイリニア	B23	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
296	採用済		Set Work Area In	ワークエリアイン点設定	ワークエリアイン点設定	B18	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
297	採用済		Set Work Area Out	ワークエリアアウト点設定	ワークエリアアウト点設定	B18	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
298	拡張	extension	Show All Video	全ビデオを表示	全ビデオを表示	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
299	拡張	extension	Show Current Clip With Handles	ハンドル付きで現在クリップ表示	ハンドル付きで現在クリップ表示	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
300	拡張	extension	Show Curve Editor	カーブエディタ表示	カーブエディタ表示	B15	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
301	拡張	extension	Show Next Screen	次画面表示	次画面表示	B26	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
302	構造吸収	absorbed	Show or hide Layer Switches and Modes columns	スイッチ/モード列表示切替	pane/workspaceの表示差分が製品固有の第二状態になる	B25	既存構造	固定pane構造(next/shell/motolii-shell/src/pane_layout.rs:109-124)	不要	独立したowner・状態・検収を増やさない	因果未記入: pane/workspaceの表示差分が製品固有の第二状態になる は 固定pane構造(next/shell/motolii-shell/src/pane_layout.rs:109-124) で Browser/Stage/Inspector/Timelineの同じ4役割で制作する に到達する。active panel/workspace preset/page/maximize/dockの専用粒 は独立実装しない	next/shell/motolii-shell/src/pane_layout.rs:109-124	構造吸収から導出
303	拡張	extension	Show Previous Screen	前画面表示	前画面表示	B26	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
304	拡張	extension	Shy	シャイ切替	シャイ切替	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
305	不採用		Slide Clip	クリップをスライド	クリップをスライド		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
306	不採用		Slide Tool	スライドツール	スライドツール		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
307	不採用		Slip Clip	クリップをスリップ	クリップをスリップ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
308	不採用		Slip Eye	立体視の目をスリップ	立体視の目をスリップ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
309	不採用		Slip Opposite Eye Left	Option+Command+,	Option+Command+,		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
310	不採用		Slip Opposite Eye Right	Option+Command+.	Option+Command+.		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
311	不採用		Slip Playhead To	プレイヘッドへスリップ	プレイヘッドへスリップ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
312	不採用		Slip Tool	スリップツール	スリップツール		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
313	採用済		Solid…	単色で置換	単色で置換	B36	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
314	採用済		Solo	ソロ切替	ソロ切替	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
315	拡張	extension	Source Clip/Source Tape	ソースクリップ/テープ切替	ソースクリップ/テープ切替	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
316	拡張	extension	Split Screen	Option+Command+W	Option+Command+W	B23	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
317	採用予定	core	Split selected layers	選択レイヤーを分割	選択レイヤーを分割	B39	既存構造+先例	Document::apply_all;LayerTiming/SetTiming;AE/Premiere timeline grammar	抑制	既存SetTimingと一つのedit刻みだけ	Splitは新しい編集機構ではなく、既存の時間正本へ委託するaliasである	next/reference/timeline-grammar.md:16	技術監査済
318	拡張	extension	Swap Clips Towards Left	左隣クリップと入れ替え	左隣クリップと入れ替え	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
319	拡張	extension	Swap Clips Towards Right	右隣クリップと入れ替え	右隣クリップと入れ替え	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
320	拡張	extension	Synchronize > Clip End	クリップ末尾で同期	クリップ末尾で同期	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
321	拡張	extension	Synchronize > Clip Start	クリップ先頭で同期	クリップ先頭で同期	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
322	拡張	extension	Synchronize > Timecode	タイムコードで同期	タイムコードで同期	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
323	拡張	extension	Take Selector	テイクセレクタ	テイクセレクタ	B40	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
324	不採用		Toggle Slip/Slide Mode	スリップ/スライド切替	スリップ/スライド切替		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
325	拡張	extension	Toggle V+A/V/A	映像+音声/映像/音声切替	映像+音声/映像/音声切替	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
326	採用済		Trim Edit	トリムモードに入る	トリムモードに入る	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
327	採用済		Trim Edit	トリムモード	トリムモード	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
328	採用済		Trim End	終了点をトリム	終了点をトリム	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
329	採用済		Trim End	Shift+]	Shift+]	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
330	採用予定	core	Trim In or Out point to current time	現在時刻でIn/Outをトリム	現在時刻でIn/Outをトリム	B39	既存構造+先例	LayerTiming/SetTiming;Timeline projection;AE/Premiere	抑制	trim計算とpreviewは既存timing経路だけ	TrimはLayerTimingの境界変更へ収め、別のtrim modelを作らない	next/reference/timeline-grammar.md:60	技術監査済
331	採用済		Trim Mode	トリムモード	トリムモード	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
332	採用済		Trim Start	開始点をトリム	開始点をトリム	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
333	採用済		Trim Start	Shift+[	Shift+[	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
334	拡張	extension	Trim to Selection	選択範囲にトリム	選択範囲にトリム	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
335	採用済		Trim tool	T	T	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
336	拡張	extension	Trim/Step Multiframe Left	Shift+,	Shift+,	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
337	拡張	extension	Trim/Step Multiframe Right	Shift+.	Shift+.	B39	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
338	拡張	extension	Turn off all other solo switches	他の全ソロを解除	他の全ソロを解除	B32	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
339	拡張	extension	Update All Clips	Option+Shift+U	Option+Shift+U	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
340	拡張	extension	Update Selected Clips	Shift+Command+U	Shift+Command+U	B52	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
341	拡張	extension	With Layered Comp	レイヤー化コンポで置換	レイヤー化コンポで置換	B08	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
342	不採用		Multiple User Collaboration	複数ワークステーション協調編集を有効化	複数ワークステーション協調編集を有効化		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
343	採用済		Single User Project	コラボレーション機能を無効化	コラボレーション機能を無効化	B12	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
344	不採用		Active Playhead	アクティブプレイヘッド	アクティブプレイヘッド		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
345	不採用		Add Version	Command+Y	Command+Y		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
346	拡張	extension	AI color correction	AI自動色調補正	AI自動色調補正	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
347	不採用		Append Node Graph	ノードグラフを追加	ノードグラフを追加		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
348	不採用		Append Node to Selected Clips	選択クリップへノード追加	選択クリップへノード追加		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
349	不採用		Apply Grade	グレード適用	グレード適用		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
350	不採用		Apply Grade From One Clip Prior	1つ前のクリップからグレード適用	1つ前のクリップからグレード適用		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
351	不採用		Apply Grade From One Clip Prior	=(equals)	=(equals)		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
352	不採用		Apply Grade From Two Clip Prior	-(minus)	-(minus)		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
353	不採用		Apply Grade From Two Clips Prior	2つ前のクリップからグレード適用	2つ前のクリップからグレード適用		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
354	拡張	extension	Auto Color	オートカラー	オートカラー	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
355	拡張	extension	Auto Color	Option+A	Option+A	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
356	不採用		Bypass All Grades	Shift+D	Shift+D		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
357	不採用	out-of-domain?	Bypass Color and Fusion	Color/Fusionバイパス	Color/Fusionバイパス		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
358	拡張	extension	Classic Color Burn	焼き込みカラー(クラシック)	焼き込みカラー(クラシック)	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
359	拡張	extension	Classic Color Dodge	覆い焼きカラー(クラシック)	覆い焼きカラー(クラシック)	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
360	採用済		Color	カラー	カラー	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
361	採用済		Color Burn	焼き込みカラー	焼き込みカラー	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
362	採用済		Color Dodge	覆い焼きカラー	覆い焼きカラー	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
363	不採用		Color Overlay	カラーオーバーレイ	カラーオーバーレイ		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
364	拡張	extension	Darker Color	カラー比較(暗)	カラー比較(暗)	B05	未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
365	不採用		Default Version	Command+U	Command+U		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
366	不採用	out-of-domain?	Dolby Vision	Dolby Visionライセンス/設定ファイル読み込み	Dolby Visionライセンス/設定ファイル読み込み		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
367	不採用	out-of-domain?	Dolby Vision	Dolby Visionトリムメタデータのコピー&ペースト	Dolby Visionトリムメタデータのコピー&ペースト		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
368	不採用	out-of-domain?	Dolby Vision	Dolby Visionグレーディング	Dolby Visionグレーディング		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
369	不採用	out-of-domain?	Full Printer Light	フルプリンターライト	フルプリンターライト		未判定	未判定	未判定	未監査	意味の在庫判定はあるが、技術の委託先とスクラッチ境界は未監査	-	未監査
